Date,Portfolio Daily P&L %,HSI.HI Daily P&L %,HSCEI.HI Daily P&L %
11/17/17,0.56%,0.62%,0.65%
11/20/17,-0.58%,0.21%,-0.61%
11/21/17,2.41%,1.91%,2.91%
11/22/17,0.76%,0.62%,0.71%
11/23/17,-1.69%,-0.99%,-1.85%
11/24/17,1.28%,0.53%,1.46%
11/27/17,-0.89%,-0.60%,-1.14%
11/28/17,-0.58%,-0.02%,-0.57%
11/29/17,-0.20%,-0.19%,-0.49%
11/30/17,-1.31%,-1.51%,-1.48%
12/1/17,-0.13%,-0.35%,-0.23%
12/4/17,0.42%,0.22%,0.60%
12/5/17,-0.26%,-1.01%,-0.29%
12/6/17,-2.58%,-2.14%,-2.80%
12/7/17,0.04%,0.28%,-0.11%
12/8/17,0.90%,1.19%,1.25%
12/11/17,1.21%,1.14%,1.26%
12/12/17,-0.69%,-0.59%,-1.04%
12/13/17,1.61%,1.49%,1.83%
12/14/17,0.17%,-0.19%,0.10%
12/15/17,-1.27%,-1.09%,-1.44%
12/18/17,0.35%,0.70%,0.43%
12/19/17,0.80%,0.70%,1.11%
12/20/17,-0.29%,-0.07%,-0.31%
12/21/17,0.39%,0.45%,0.79%
12/22/17,0.17%,0.72%,0.48%
12/25/17,0.00%,0.00%,0.00%
12/26/17,0.00%,0.00%,0.00%
12/27/17,-0.56%,0.07%,-0.30%
12/28/17,0.80%,0.90%,0.57%
12/29/17,0.19%,0.19%,0.22%
1/2/18,2.55%,1.99%,3.07%
1/3/18,0.33%,0.15%,0.17%
1/4/18,0.59%,0.57%,0.95%
1/5/18,-0.19%,0.25%,0.07%
1/8/18,-0.08%,0.28%,0.19%
1/9/18,0.32%,0.36%,0.17%
1/10/18,-0.10%,0.20%,0.27%
1/11/18,0.36%,0.15%,0.05%
1/12/18,1.00%,0.94%,1.41%
1/15/18,0.71%,-0.23%,0.01%
1/16/18,2.43%,1.81%,2.54%
1/17/18,0.92%,0.25%,0.64%
1/18/18,1.63%,0.43%,1.76%
1/19/18,0.40%,0.41%,0.65%
1/22/18,-0.20%,0.43%,0.19%
1/23/18,2.42%,1.66%,2.16%
1/24/18,0.79%,0.08%,0.97%
1/25/18,-1.76%,-0.92%,-1.71%
1/26/18,2.12%,1.53%,2.51%
1/29/18,-0.32%,-0.56%,-0.47%
1/30/18,-1.75%,-1.09%,-1.98%
1/31/18,0.98%,0.86%,1.29%
2/1/18,-0.83%,-0.75%,-0.94%
2/2/18,0.23%,-0.12%,0.78%
2/5/18,-0.06%,-1.09%,-0.43%
2/6/18,-5.52%,-5.12%,-5.88%
2/7/18,-1.70%,-0.89%,-2.00%
2/8/18,-0.30%,0.42%,-0.43%
2/9/18,-3.51%,-3.10%,-3.87%
